Tracking Number,Sent,Origin city (original),Origin city (used),Origin country,Origin Lat,Origin Long,Received,Destination city (original),Destination (used),Destination country,Destination Lat,Destination Long
783781077694,09/08/2016,PORTSMOUTH,PORTSMOUTH,US,15.58333,-61.46667,11/08/2016,PENCOED BRIDGEND,LONDON,GB,51.50853,-0.12574
776916515817,04/08/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,09/08/2016,SEOUL-SI SEONGDONG-GU,SEOUL,KR,37.566,126.9784
776956592061,09/08/2016,IRVINE,IRVINE,US,0,0,11/08/2016,ABINGDON,ABINGDON,GB,51.67109,-1.28278
655674674514,08/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/08/2016,HAMBURG,HAMBURG,DE,53.57532,10.01534
655674674525,08/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/08/2016,MOMBASA,MOMBASA,KE,-4.05466,39.66359
655674674547,08/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/08/2016,ROTTERDAM,ROTTERDAM,NL,51.9225,4.47917
655674674385,05/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/08/2016,ABRUNHEIRA,LISBON,PT,38.71667,-9.13333
655674674422,05/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/08/2016,BRASSCHAAT,BRASSCHAAT,BE,51.2912,4.49182
655674674374,05/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,10/08/2016,SPIJKENISSE,SPIJKENISSE,NL,51.845,4.32917
655674674400,05/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/08/2016,AVALDSNESGATA,OSLO,NO,59.91273,10.74609
655674674271,04/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/08/2016,CO OFFALY,DUBLIN,IE,53.33306,-6.24889
655674674238,03/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/08/2016,VABAEK,COPENHAGEN,DK,55.67594,12.56553
655674674250,04/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/08/2016,DUBLIN,DUBLIN,IE,53.33306,-6.24889
655674674190,03/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/08/2016,ASKIM,ASKIM,SE,59.58326,11.16286
655674674720,09/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/08/2016,DUBLIN,DUBLIN,IE,53.33306,-6.24889
655674674640,09/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/08/2016,LAGOS,LAGOS,NG,41.45102,26.46067
655674674010,01/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,06/08/2016,SHANDONG PROVINCE,BEIJING,CN,39.9075,116.39723
655674674087,02/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/08/2016,SIRCUSA,ROME,IT,41.89193,12.51133
655674674135,02/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,05/08/2016,LIMERICK,LIMERICK,IE,40.23093,-75.52212
655674674694,09/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/08/2016,MARBURG,BERLIN,DE,52.52437,13.41053
655674674113,02/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,09/08/2016,RAUNAS PAGASTS,RIGA,LV,56.946,24.10589
776929498225,08/08/2016,CASPER,CASPER,US,42.86663,-106.31308,11/08/2016,MAKATI,MANILA,PH,14.6042,120.9822
655674674180,03/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/08/2016,GRENA,COPENHAGEN,DK,55.67594,12.56553
674096329892,02/08/2016,HANGZHOU,HANGZHOU,CN,30.29365,120.16142,05/08/2016,OXFORD,OXFORD,GB,45.73345,-63.86542
655674674628,09/08/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/08/2016,DUBLIN 16,DUBLIN,IE,53.33306,-6.24889
655674656581,02/03/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,07/03/2016,SINGAPORE,SINGAPORE,SG,1.28967,103.85007
655674656548,01/03/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,04/03/2016,VOUVRY,VOUVRY,CH,46.33746,6.8895
782501981328,02/03/2016,PORTSMOUTH,PORTSMOUTH,US,15.58333,-61.46667,07/03/2016,PENCOED BRIDGEND,LONDON,GB,51.50853,-0.12574
782522392176,04/03/2016,POMONA,POMONA,US,39.47845,-74.57516,07/03/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
